MP_CODE,MP_NAME,Population
292154,Nkawukazi,532
292155,Mpotini,1163
292156,Khukwini,250
292157,Coranlay,714
292158,Mbangisweni,2047
292159,Ngobozi,1537
292160,Qinisa,1144
292161,Tshisabantu,1019
292162,Jovu,319
292163,Mabheleni,1010
292164,Masameni,654
292165,Mazulu,436
292166,Sundwane,2378
292167,Ntakwendlela,489
292168,Njezeni,519
292169,Nodushe,416
292170,Ekulambeni,519
292171,Lujecweni,1835
292172,Corana,541
293166,Magcaki,207
293167,Gubini,237
293168,Hlabati,357
293169,Ngcengane,233
293170,Ntshongweni,521
293171,Nxotwe,8
293172,Ntsulwandayo,528
293173,KwaSikhulu,55
293174,Culunca,237
293175,Mgantsho,462
293176,KwaNkese,508
293177,Xilinxa,136
293178,KwaRhombe,128
293179,Manzamnyama,200
293180,Mbombo,305
293181,Gotyibeni,266
293182,Twatwa,82
293183,Zahobeni,101
293184,Dumba,364
293185,Godini,195
293186,Konkabi,895
294185,Matyengqina,1130
294186,Zikotazi,312
294187,Ngaphezulu,2003
294188,Xhugxwala,769
294189,Rhuyrwala,1736
294190,Zihasini,614
294191,Lukwethu,725
294192,Machibini,418
294193,Mcata,413
294194,Madontsi,805
294195,Mandlaneni B,767
294196,Marawuleni,474
294197,Lwalweni,1136
294198,KuNkalane,262
294199,Mateko,388
294200,Mqekezweni,1021
294201,Nyibibeni,925
294202,China,1317
294444,Tamsana,265
294445,Maganyeni,391
294446,Zidinzi,1275
294447,Mzongwaneni,258
294448,Zinkuwu,760
294449,Nyandeni A,356
294450,Mhlangura,459
294451,Ntilini A,283
294452,KuDingata,306
294453,Coffee Bay,258
294454,Rini,1336
294455,Macelweni,817
294456,Bhuba,418
294457,Mthonjana,527
294458,Lulaleni,384
294459,Emthaleni,750
294460,Talemofu,255
294461,Ncekane,214
173008,Suiderstrand,44
174001,Ladismith,3742
174002,Nissenville,3385
174003,Kannaland ,7864
174004,Zoar,4659
174005,Calitzdorp,4284
174006,Van Wyksdorp,833
175001,Riversdale,16176
175002,Hessequa ,11586
175003,Heidelberg,8259
175004,Slangrivier,3011
175005,Albertinia,6372
175006,Melkhoutfontein,2533
175007,Gouritsmond,515
175008,Still Bay,3514
175009,Witsand,-
175010,Port Beaufort,321
175011,Groot Jongensfontein,355
176001,Ruitersbos State Forest,451
176002,Jonkersberg State Forest,114
176003,Mossel Bay ,4236
176004,Friemersheim,1235
176005,Herbertsdale,666
176006,Groot Brakrivier,10619
176007,Tergniet,1264
176008,Reebok,1112
176009,Klein Brakrivier,2037
176010,Brandwacht,1470
176011,Hartenbos,4196
176012,Vyf Brakke Fonteinen,2632
176013,KwaNonqaba,27561
176014,Mossel Bay,29887
176015,Isinyoka,811
176016,Asazani,772
176017,Mossdustria,65
176018,Blue Ridge,7
176019,Moquini Coastal Estate,22
176020,Nautilus Bay,10
176021,Springerbaai,1
176022,Boggoms Bay,69
176023,Vlees Bay,193
177001,Swartberg State Forest,-
177002,George ,22360
177003,Formosa State Forest,-
177004,Uniondale,4525
177005,Haarlem,2376
177006,George,114291
177007,Thembalethu,43103
177008,Wilderness,6164
177009,Wilderness Lake Area,149
177010,Herolds Bay,704
178001,De Rust,3566
178002,Oudtshoorn ,17694
178003,Dysselsdorp,12544
178004,Oudtshoorn,29143
178005,Bongolethu,14724
178006,Bridgeton,17640
178007,De Hoop,151
178008,Armoed,472
179001,Bitou ,4954
179002,Kurland,4033
179003,Nature's Valley,460
179004,Keurboomstrand,475
179005,Wittedrift,1822
179006,Bossiesgerf,1444
179007,New Horizons,9869
179008,Kwanokuthula,14016
179009,Plettenberg Bay,6475
179010,Kranshoek,5597
179011,Bosluiskop,18
180001,Karatara,880
180002,Knysna ,4222
180003,Rheenendal,3936
180004,Swartvlei,20
180005,Phantom Pass,35
180006,Montmere,75
180007,Sedgefield,8286
180008,Myoli Beach,42
180009,Knysna,51078
180010,Goukamma Nature Reserve,13
180011,Buffelsbaai,71
181001,Laingsburg ,2200
181002,Laingsburg,5667
181003,Matjiesfontein,422
182001,Bitterwater,2123
182002,Leeu Gamka,604
182003,Prince Albert ,2771
182004,Prince Albert,7054
182005,Klaarstroom,584
183001,Murraysburg,167
183002,Rooivlakte,4902
183003,Nelspoort,1699
183004,Beaufort West ,7141
183005,Beaufort West,20066
183006,New Town,529
183007,Kwa-Mandlenkosi,5249
183008,Rustdene,8241
183009,Merweville,1592
199001,Mamre,9048
199002,Cape Metro,11916
199003,Pella,1681
199004,Atlantis,67491
199005,Cape Farms,1563
199006,Philadelphia,570
199007,Melkbosstrand,11586
199008,Klipheuwel,2294
199009,Cape Town ,485
199010,Durhamville,323
199011,Fistantekraal,12369
199012,Robben Island,116
199013,Blouberg,106222
199014,Milnerton,95630
199015,Parow,119462
260154,KwaKalkeni,129
260155,Chalumna A,526
260156,Tsaba,457
260157,Mabel's Rest,837
260158,Richmond Pines,640
260159,Twecwana,571
260160,Kidd's Beach,499
260161,Sandile,855
260162,Mpongo,202
260163,Khayelitsha,649
260164,Ncera,1245
260165,iKhiwane,1039
260166,eJojweni,1818
260167,Cosy Corner,111
260168,Chalumna B,158
260169,Gqala,651
260170,Xhama,993
260171,Carrington,71
260172,Ntlalwini,172
260173,Christmas Rock,329
270147,Sizindeni,128
270148,Mgojweni,487
270149,Nditya,50
270150,Ndungunyeni,380
270151,KwaMadi,211
270152,KwaNkumba,351
270153,KwaNdiya,373
270154,Madi,240
270155,Dlova,273
270156,Nkovalini,379
270157,KuBafazi,590
270158,Mtshekelweni,309
270159,Mkuthukeni Xora,330
270160,Xora Gonglo,474
270161,Mnyolo,391
270162,Mncangalelo,427
270163,Mkhalalo,31
270164,Langeni,126
270165,KuLombete,742
270166,Maqhunqu,179
270167,Landlandla,149
270168,KwaMathanzima,605
270191,Nkalweni A,417
270192,KwaThembu,192
270193,Kasa A,833
270194,Ngqatyana Phesheykwe,118
270195,Bhayi,860
270196,KwaTuwa,351
270197,KwaRonose,594
270198,Noihana East,255
270199,Mangweni,545
270200,Kulobhonga,553
270201,KwaNgezana,257
270202,Tubeni,443
270203,Dabane,604
270204,Nginza,621
270205,KuNgxobongwana,95
270206,Emaqungwini,278
270207,Mkwezeni,32
270208,Ntlonyana,1007
270209,Kulodingata,423
270210,Kulorada,777
270211,Mngazana,187
270212,Zimtshe,124
272030,Chakatha,315
272031,KwaJongilanga,241
272032,Kwelera,630
272033,KwaNokhala,553
272034,Cintsa East,1740
272035,KwaThuba,2278
272036,Cintsa West,63
272037,Queensberry Bay,423
272038,Glengariff,119
272039,Arena,63
272040,Yellowsands,93
273001,Ngqolosa,263
273002,Upper Ngqolosa,182
273003,Amahlathi ,7692
273004,eJojweni A,156
273005,KwaJimi,311
273006,Cengu,610
273007,KwaNcekemfu,377
273008,Xolobe,860
273009,Ndzisaneni,188
273010,Mdzisane,307
282175,KwaMhluzi,548
282176,Sihlaba,459
282177,KuMngqanga,298
282178,Ng'ala,215
282179,Mkukwini,451
282180,Qamata,114
282181,Kwanyewe,792
282182,Ntlakwefolo,325
282183,Kwathendeshe,267
282184,Tyawana,390
282185,KwaMadikana,912
282186,Komkulu B,258
282187,eMazizini,338
282188,Manzabelu,336
282189,Edayimani,46
282190,eNdulini,406
282191,Komkulu A,404
282192,Mahlubini,83
282193,Mnyangula,445
282194,Nogate,170
283135,Kwa-Percy,863
283136,Lapesini B,242
283137,Magemfaneni,1092
283138,Dophu,378
283139,Ngcuka,1358
283140,Glen Adelaide,914
283141,Mtsheko,1179
